FIPS,State,County,National Z-Score,Health Group Range,National Z-Score.1,Health Group Range.1,"Population
Est.
(July 2021*)","Unduplicated
Members**","% Population
Enrolled in
SoonerCare",Expenditures,Annual Per Capita,Monthly Avg Per Member
40001,Oklahoma,adair,1.3288216716,0.95 to 1.42,1.044333187,0.75 to 1.11,"19,414","11,485",59%,"59,610,080","3,070",433
40003,Oklahoma,alfalfa,-0.672217728,-0.72 to -0.4,-0.127922725,-0.22 to 0,"5,710","1,243",22%,"4,529,304",793,304
40005,Oklahoma,atoka,0.5974892024,0.56 to 0.95,0.8560163968,0.75 to 1.11,"14,324","4,980",35%,"24,697,080","1,724",413
40007,Oklahoma,beaver,-0.177880497,-0.4 to -0.11,0.0070395359,0 to 0.23,"4,980","1,213",24%,"3,390,426",681,233
40009,Oklahoma,beckham,0.3963697051,0.22 to 0.56,0.2557904593,0.23 to 0.47,"22,046","7,857",36%,"34,550,929","1,567",366
40011,Oklahoma,blaine,0.7603096002,0.56 to 0.95,0.3898405621,0.23 to 0.47,"8,562","3,422",40%,"13,209,161","1,543",322
40013,Oklahoma,bryan,0.6079776036,0.56 to 0.95,0.5136591797,0.47 to 0.75,"47,105","17,785",38%,"79,145,939","1,680",371
40015,Oklahoma,caddo,1.089517467,0.95 to 1.42,0.6160478424,0.47 to 0.75,"26,368","11,820",45%,"53,907,673","2,044",380
40017,Oklahoma,canadian,-0.754636938,-1.09 to -0.72,-0.437324328,-0.44 to -0.22,"161,737","32,495",20%,"130,243,352",805,334
40019,Oklahoma,carter,0.5591192963,0.22 to 0.56,0.2945030491,0.23 to 0.47,"48,291","19,185",40%,"88,531,872","1,833",385
40021,Oklahoma,cherokee,0.5785948287,0.56 to 0.95,0.3941372063,0.23 to 0.47,"47,627","18,063",38%,"115,223,270","2,419",532
40023,Oklahoma,choctaw,1.4608753317,1.42 to 2,1.0281744738,0.75 to 1.11,"14,307","6,828",48%,"32,569,290","2,276",397
40025,Oklahoma,cimarron,-0.099277343,-0.1 to 0.21,-0.072683099,-0.22 to 0,"2,248",637,28%,"1,210,627",539,158
40027,Oklahoma,cleveland,-0.526837319,-0.72 to -0.4,-0.401911069,-0.44 to -0.22,"297,597","63,365",21%,"274,493,564",922,361
40029,Oklahoma,coal,0.940517196,0.56 to 0.95,1.0357719375,0.75 to 1.11,"5,276","2,301",44%,"12,797,386","2,426",463
40031,Oklahoma,comanche,0.1877754839,-0.1 to 0.21,0.3133920166,0.23 to 0.47,"122,063","37,832",31%,"150,970,281","1,237",333
40033,Oklahoma,cotton,0.357144448,0.22 to 0.56,0.6173967769,0.47 to 0.75,"5,480","2,007",37%,"9,216,635","1,682",383
40035,Oklahoma,craig,0.3952731733,0.22 to 0.56,0.5226787891,0.47 to 0.75,"14,115","5,993",42%,"45,052,934","3,192",626
40037,Oklahoma,creek,0.4039620233,0.22 to 0.56,0.2780470489,0.23 to 0.47,"72,029","25,118",35%,"132,959,855","1,846",441
40039,Oklahoma,custer,-0.0185432,-0.1 to 0.21,0.0033915476,0 to 0.23,"28,163","9,077",32%,"41,015,888","1,456",377
40041,Oklahoma,delaware,0.4901364061,0.22 to 0.56,0.4693083901,0.23 to 0.47,"41,000","14,240",35%,"71,516,475","1,744",419
